"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000022108",22141.0150352157,-0.0765150906637243,0.177938701257914,-0.430008143944015,0.66718971707489,0.841802138543683,"Itm2b"
"ENSMUSG00000043716",21766.4646800549,-0.192532231477392,0.106141176956556,-1.81392591450344,0.0696891324280047,0.242247533226161,"Rpl7"
"ENSMUSG00000003970",21668.1627615856,0.00522196234898949,0.141759512531289,0.0368367685225842,0.970615156891177,0.988420788155286,"Rpl8"
"ENSMUSG00000001175",21511.4291577053,0.230863028426629,0.151395802572056,1.52489715371568,0.127284751928724,0.347398075814668,"Calm1"
"ENSMUSG00000059070",21297.9855746539,0.137786345587885,0.152809525880915,0.901686886295702,0.367223221102439,0.628232202579415,"Rpl18"
"ENSMUSG00000018569",21515.5501858473,0.54582624394439,0.210715428960334,2.59034778154351,0.00958790136856076,0.0685856471296632,"Cldn7"
"ENSMUSG00000018293",21242.4768294257,0.450959333738767,0.101677543633682,4.43519107191906,9.19906616544808e-06,0.00041780926112687,"Pfn1"
"ENSMUSG00000063524",20948.2475651535,0.731711516079981,0.167125627268279,4.37821253412798,1.1965663442471e-05,0.000503698714978519,"Eno1"
"ENSMUSG00000012848",20336.38103259,-0.237976603323638,0.125493734183979,-1.89632259228779,0.0579174006325566,0.217047345244589,"Rps5"
"ENSMUSG00000038274",20482.6191097763,0.342641373283367,0.173303601183684,1.97711629154321,0.0480284866665667,0.193633641827303,"Fau"
"ENSMUSG00000016319",20440.4601921311,-0.345998838102489,0.229438612448175,-1.50802358160461,0.131548491714991,0.354656357922793,"Slc25a5"
"ENSMUSG00000024608",20088.0182145931,0.000331519468018918,0.132782872059637,0.00249670354976221,0.998007920854357,0.999517041260985,"Rps14"
"ENSMUSG00000023944",20026.0427356511,0.0091172635636853,0.0955665252103231,0.0954022712829624,0.923995312085978,0.969181436268211,"Hsp90ab1"
"ENSMUSG00000060802",19714.5241003707,0.303656551586215,0.190894047453497,1.59070728310786,0.11167546710017,0.322310541638298,"B2m"
"ENSMUSG00000020372",19383.9484464802,-0.450447474646046,0.132950246501534,-3.38809055642366,0.000703810231266734,0.0107642013518056,"Rack1"
"ENSMUSG00000030739",19938.9937917015,0.455139375417733,0.224876217466205,2.02395513650141,0.0429747680331864,0.180304082013269,"Myh14"
"ENSMUSG00000050708",19271.573439055,0.311343120774277,0.144029033450874,2.16166916707436,0.0306436858668274,0.146504753508365,"Ftl1"
"ENSMUSG00000023247",19541.6607037375,-0.37054550483455,0.389455384292959,-0.951445325392691,0.341378360815165,0.604028794484619,"Guca2a"
"ENSMUSG00000026421",18766.9128738325,0.321399071758659,0.618956149911871,0.519259840627515,0.603579554335361,0.801437812215472,"Csrp1"
"ENSMUSG00000023175",19349.4267791352,0.44355699247418,0.171223740167795,2.59051105903601,0.00958335423283324,0.0685789597098903,"Bsg"
"ENSMUSG00000030432",18645.9323049817,-0.258363471680401,0.147575821228546,-1.75071681478419,0.0799947015702275,0.263114935778026,"Rpl28"
"ENSMUSG00000031320",18341.7312531598,-0.265702738804251,0.123479695127825,-2.15179296101433,0.031413664496715,0.148577085318918,"Rps4x"
"ENSMUSG00000028495",18322.1330705217,-0.0542532658373038,0.125661621582312,-0.43174093374059,0.665929713169837,0.841372728498259,"Rps6"
"ENSMUSG00000027556",18427.7913933567,0.0551787805366455,0.225044139564578,0.245190924071194,0.806308603487059,0.915663463082487,"Car1"
